split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,emitted_arithmetic_symbol_count,model_forward_seconds,softmax_seconds,model_forward_softmax_seconds,window_build_seconds,python_overhead_seconds,data_transfer_seconds,gpu_prefix_aggregate_seconds,arithmetic_quantize_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_range_seconds,arithmetic_wrapper_seconds,arithmetic_encode_seconds,compression_process_seconds,recorded_wall_seconds,recorded_wall_seconds_source,wall_unaccounted_seconds,fasta_read_seconds,compression_bytes_per_second,compression_bases_per_second,compression_symbols_per_second,wall_bytes_per_second,wall_bases_per_second,model_forward_process_fraction,data_transfer_process_fraction,window_build_process_fraction,python_overhead_process_fraction,arithmetic_quantize_process_fraction,arithmetic_range_process_fraction,arithmetic_wrapper_process_fraction,arithmetic_encode_process_fraction,wall_unaccounted_fraction,arithmetic_backend,arithmetic_coding_mode,arithmetic_merge_size
full,windows_nonoverlap,aggregate,,ALL,17,685597124,685597107,228532386,938.3941044518724,3.031040338333696,941.4251447902061,0.4604963755700737,121.20904637337662,106.24803346837871,0.0,1159.597856064,1159.597856064,8.859952273,0.3020205576319371,1168.759828894632,2338.1025499021634,,,,,293227.9955080193,293227.98823716625,97742.67001657511,,,0.4013485655242705,0.04544199033221387,0.0001969530273979398,0.051840774211742144,0.49595679886347277,0.0037893771055383086,0.0001291733579626672,0.4998753493269737,,fast_cpp,model_symbol,3
full,windows_nonoverlap,source,OrSa,OrSa,,43262523,43262523,14420842,59.6607682115864,0.19249685783870518,59.853265069425106,0.027423381339758635,8.359366925200447,6.764079633168876,0.0,71.96557542100001,71.96557542100001,0.5673063939999999,0.011473045903695677,72.5443548609037,147.54848987003788,,,,,293208.84976936085,293208.84976936085,97736.29003388659,,,0.4043468575255238,0.04584309632126186,0.00018586012885603512,0.056655049011775434,0.48774186360286015,0.0038448810590992074,7.775779958033623e-05,0.49166450246153964,,fast_cpp,model_symbol,3
full,windows_nonoverlap,source,HoSa,HoSa,,189752667,189752667,63250890,265.08395905420184,0.8769966636318713,265.9609557178337,0.11710763978771865,34.11087012384087,29.067467781016603,0.0,325.77427476600025,325.77427476600025,2.379191331,0.12600276743532973,328.27946886443533,657.5358701269142,,,,,288581.4685111778,288581.4685111778,96193.82435788885,,,0.403147525629342,0.04420666476401683,0.0001781007624194177,0.051876820221620705,0.49544715287261964,0.0036183445483221784,0.00019162873564754622,0.49925712615658896,,fast_cpp,model_symbol,3
full,windows_nonoverlap,source,DaRe,DaRe,,62565020,62565018,20855007,68.93468770128675,0.17718373308889568,69.11187143437564,0.03256697999313474,8.753346860408783,9.7829297313001,0.0,106.82218306000003,106.82218306000003,0.8140931379999999,0.019185684008239442,107.65546188200824,195.3361768880859,,,,,320294.07453717815,320294.06429841934,106764.69321885251,,,0.35290282015082924,0.05008252893628118,0.00016672272649112695,0.04481170359663507,0.5468632834009122,0.004167651640210092,9.821879548319158e-05,0.5511291538366053,,fast_cpp,model_symbol,3
full,windows_nonoverlap,source,ScPo,ScPo,,10652155,10652154,3550719,14.728966492926702,0.050393267534673214,14.779359760461375,0.01678090519271791,1.8873391095548868,1.653102511074394,0.0,17.685241008000006,17.685241008000006,0.14111049699999997,0.0028471567259679884,17.829198661725968,36.16578094800934,,,,,294536.8445192201,294536.81686877337,98178.96660670453,,,0.4072625035831674,0.045709022942179406,0.00046399952532040023,0.05218576953358368,0.4890048146180968,0.0039017682820911698,7.872515541862517e-05,0.4929853080556065,,fast_cpp,model_symbol,3
full,windows_nonoverlap,source,EsCo,EsCo,,4641652,4641651,1547218,6.4645382321905345,0.023018354084342718,6.487556586274877,0.0026092310436069965,0.86286147730425,0.7274427753873169,0.0,8.014159309999998,8.014159309999998,0.060044067000000007,0.0014316829694997818,8.0756350599695,16.15610512997955,,,,,287300.18545044435,287300.12355433806,95766.76974755229,,,0.4001297453923362,0.045025875329163426,0.00016150124195250882,0.05340776569367014,0.49604525629935303,0.0037164939517867574,8.861560122204985e-05,0.4998503658523619,,fast_cpp,model_symbol,3
full,windows_nonoverlap,source,YeMi,YeMi,,73689,73689,24564,0.09351478307507932,0.00013380404561758041,0.0936485871206969,0.00019080494530498981,0.015236607752740383,0.001927749253809452,0.0,0.129261547,0.129261547,0.001022032,5.885096945976772e-05,0.13034242996945977,0.2413461790420115,,,,,305324.90836398466,305324.90836398466,101779.11288052381,,,0.38747157069680005,0.00798748611418408,0.0007905861450235601,0.0631317546157966,0.5355856368353743,0.00423471382085603,0.00024384462887860114,0.540064195285109,,fast_cpp,model_symbol,3
full,windows_nonoverlap,source,BuEb,BuEb,,18940,18939,6314,0.048444403102621436,0.0022686689626425505,0.05071307206526399,0.00011006323620676994,0.013207395793870091,0.005333062959834933,0.0,0.02973485,0.02973485,0.000256708,4.012096531522255e-05,0.030031678965315223,0.099395273020491,,,,,190552.3212969634,190542.26045634583,63524.147659399525,,,0.4873914184292677,0.053655096442418206,0.0011073286773313623,0.1328775040554222,0.29915758663764586,0.0025826982732577025,0.0004036506374599056,0.30214393554836344,,fast_cpp,model_symbol,3
full,windows_nonoverlap,source,AgPh,AgPh,,43970,43968,14657,0.08425870002247393,0.0023037001956254244,0.08656240021809936,8.533196523785591e-05,0.016187965869903564,0.0061682891100645065,0.0,0.07381108,0.07381108,0.000564337,6.520174412000062e-05,0.07444061874412,0.18344460590742528,,,,,239690.88533564904,239679.9828619017,79898.77885750757,,,0.45931413249073566,0.03362480504429394,0.00046516475540806255,0.08824443645986935,0.4023616809820427,0.003076334663581173,0.00035543015177510567,0.405793445797399,,fast_cpp,model_symbol,3
full,windows_nonoverlap,source,GaGa,GaGa,,148532294,148532292,49510765,206.58519106754102,0.6810259527992457,207.26621702034026,0.09084114711731672,26.533874516841024,23.213299194118008,0.0,249.9539655889998,249.9539655889998,1.935254558,0.05828179458405102,251.94750194158405,509.05173382000066,,,,,291782.3162793128,291782.3123504391,97260.77274791656,,,0.4058235682988342,0.04560106105507573,0.00017845169966445475,0.05212412168352094,0.4910187884310062,0.0038016854268967106,0.00011449090674280918,0.49493496476464616,,fast_cpp,model_symbol,3
