split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_vs_2bit_percent,arithmetic_bytes_ratio_vs_ascii,arithmetic_size_reduction_vs_ascii_percent,arithmetic_vs_two_bit_pack_ratio,arithmetic_vs_gzip_ratio,arithmetic_vs_bz2_ratio,arithmetic_vs_lzma_ratio,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,window_policy,window_stride,cache_reuse
full,windows_nonoverlap,aggregate,,ALL,17,685597124,685597107,228532386,1243809677.0625,1.8141991329355187,155554679,1.8151147653544577,90.75573826772289,0.22688934004338093,77.3110659956619,0.9075573284035889,,,,685597124,171399287,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,,,
full,windows_nonoverlap,source,OrSa,OrSa,,43262523,43262523,14420842,81877678.9296875,1.892577530202931,10239459,1.893455728414175,94.67278642070876,0.23668196605177189,76.33180339482281,0.9467278423237627,,,,43262523,10815631,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,HoSa,HoSa,,189752667,189752667,63250890,309042023.90625,1.628657076562987,38653090,1.6296198882938493,81.48099441469246,0.20370248603673116,79.62975139632688,0.8148099398528615,,,,189752667,47438167,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,DaRe,DaRe,,62565020,62565018,20855007,116068839.875,1.8551715253242635,14515677,1.8560758026154487,92.80379013077244,0.23200946791034352,76.79905320896565,0.9280378716413741,,,,62565020,15641255,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,ScPo,ScPo,,10652155,10652154,3550719,20493104.98046875,1.9238461047848867,2562769,1.9246954184102107,96.23477092051054,0.24058690471552469,75.94130952844753,0.9623475285191092,,,,10652155,2663039,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,EsCo,EsCo,,4641652,4641651,1547218,8210211.875,1.7688128372856986,1026821,1.7697513233976445,88.48756616988223,0.2212188677651836,77.87811322348163,0.8848754710607344,,,,4641652,1160413,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,YeMi,YeMi,,73689,73689,24564,129446.296875,1.756656989170704,16186,1.757222923367124,87.8611461683562,0.2196528654208905,78.03471345791095,0.8785756934266948,,,,73689,18423,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,BuEb,BuEb,,18940,18939,6314,36674.1875,1.9364373778974602,4584,1.9363218754950102,96.81609377475051,0.2420274551214361,75.79725448785639,0.9681098204857445,,,,18940,4735,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,AgPh,AgPh,,43970,43968,14657,81783.3046875,1.8600642441662119,10227,1.8608078602620088,93.04039301310044,0.23259040254719127,76.74095974528088,0.930319294096243,,,,43970,10993,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,GaGa,GaGa,,148532294,148532292,49510765,280390866.125,1.8877434822388657,35066015,1.8886675498146894,94.43337749073447,0.2360834405479525,76.39165594520475,0.9443337494762755,,,,148532294,37133074,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
