split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,emitted_arithmetic_symbol_count,model_forward_seconds,softmax_seconds,model_forward_softmax_seconds,window_build_seconds,python_overhead_seconds,data_transfer_seconds,gpu_prefix_aggregate_seconds,arithmetic_quantize_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_range_seconds,arithmetic_wrapper_seconds,arithmetic_interval_transfer_seconds,fast_floor_interval_seconds,arithmetic_encode_seconds,compression_process_seconds,recorded_wall_seconds,recorded_wall_seconds_source,wall_unaccounted_seconds,fasta_read_seconds,compression_bytes_per_second,compression_bases_per_second,compression_symbols_per_second,wall_bytes_per_second,wall_bases_per_second,model_forward_process_fraction,data_transfer_process_fraction,window_build_process_fraction,python_overhead_process_fraction,arithmetic_quantize_process_fraction,arithmetic_range_process_fraction,arithmetic_wrapper_process_fraction,arithmetic_interval_transfer_process_fraction,fast_floor_interval_process_fraction,arithmetic_encode_process_fraction,wall_unaccounted_fraction,arithmetic_backend,arithmetic_coding_mode,arithmetic_quantization_mode,arithmetic_merge_size
full,windows_nonoverlap,aggregate,,ALL,17,685597124,685597107,228532386,535.8305746569968,0.0,535.8305746569968,0.0,6.310244219600579,3.1243631510442356,0.0,22.225914056951297,22.225914056951297,9.768707892,0.0,3.1243631510442356,22.225914056951297,31.9946219489513,406.55301216100634,,,,,1686365.8698671365,1686365.8280521715,562121.9844990222,,,1.3179845152513416,0.0076850080004004515,0.0,0.015521331857951026,0.05466916587042581,0.02402812818942126,0.0,0.0076850080004004515,0.05466916587042581,0.07869729405984707,,fast_cpp,model_symbol,fast_floor,1
full,windows_nonoverlap,source,OrSa,OrSa,,43262523,43262523,14420842,29.122421642940026,0.0,29.122421642940026,0.0,0.19668724892063238,0.15359618225193117,0.0,1.1013452148908982,1.1013452148908982,0.624972307,0.0,0.15359618225193117,1.1013452148908982,1.7263175218908982,31.199022596003488,,,,,1386662.766978534,1386662.766978534,462220.95437846414,,,0.9334401920228915,0.004923108785837619,0.0,0.0063042759854222965,0.03530063198300249,0.020031791222846103,0.0,0.004923108785837619,0.03530063198300249,0.0553324232058486,,fast_cpp,model_symbol,fast_floor,1
full,windows_nonoverlap,source,HoSa,HoSa,,189752667,189752667,63250890,122.5866122526786,0.0,122.5866122526786,0.0,0.0,0.6718179314484587,0.0,4.04835253424244,4.04835253424244,2.594097205,0.0,0.6718179314484587,4.04835253424244,6.642449739242441,71.78879606700502,,,,,2643207.260683016,2643207.260683016,881069.1008240888,,,1.7076008927390391,0.00935825599890836,0.0,0.0,0.05639253972811936,0.03613512619126201,0.0,0.00935825599890836,0.05639253972811936,0.09252766591938137,,fast_cpp,model_symbol,fast_floor,1
full,windows_nonoverlap,source,DaRe,DaRe,,62565020,62565018,20855007,43.201251505393884,0.0,43.201251505393884,0.0,0.0,0.2584657827101182,0.0,1.5037516990414588,1.5037516990414588,0.900075785,0.0,0.2584657827101182,1.5037516990414588,2.4038274840414586,31.12938288800069,,,,,2009838.107780693,2009838.0435327122,669946.0466348946,,,1.387796592718402,0.008302952346984941,0.0,0.0,0.04830650528639626,0.028914025961849322,0.0,0.008302952346984941,0.04830650528639626,0.07722053124824559,,fast_cpp,model_symbol,fast_floor,1
full,windows_nonoverlap,source,ScPo,ScPo,,10652155,10652154,3550719,10.056979432047228,0.0,10.056979432047228,0.0,1.5150531674148002,0.0732184178486932,0.0,0.6283276296890108,0.6283276296890108,0.153868725,0.0,0.0732184178486932,0.6283276296890108,0.7821963546890108,12.427447371999733,,,,,857147.4640882695,857147.3836212218,285715.87500745495,,,0.8092554432945415,0.0058916699187688,0.0,0.12191185543286746,0.05055966932555233,0.012381362028269897,0.0,0.0058916699187688,0.05055966932555233,0.06294103135382223,,fast_cpp,model_symbol,fast_floor,1
full,windows_nonoverlap,source,EsCo,EsCo,,4641652,4641651,1547218,9.540643812695635,0.0,9.540643812695635,0.0,0.6874649223702143,0.07492935110349208,0.0,0.43075020583637524,0.43075020583637524,0.068460884,0.0,0.07492935110349208,0.43075020583637524,0.49921108983637524,10.802249176005716,,,,,429693.1059792787,429693.0134059651,143231.09704196858,,,0.8832090111277568,0.006936458313693358,0.0,0.06364090581221106,0.039875973865995486,0.006337650880343271,0.0,0.006936458313693358,0.039875973865995486,0.046213624746338756,,fast_cpp,model_symbol,fast_floor,1
full,windows_nonoverlap,source,YeMi,YeMi,,73689,73689,24564,9.779831548366928,0.0,9.779831548366928,0.0,0.06727580222170637,0.0533675650076475,0.0,0.9181725344096776,0.9181725344096776,0.001090903,0.0,0.0533675650076475,0.9181725344096776,0.9192634374096776,10.81973835300596,,,,,6810.608315637095,6810.608315637095,2270.2951955557764,,,0.9038879896434721,0.004932426576916328,0.0,0.006217876997276527,0.08486088151610333,0.00010082526623177753,0.0,0.004932426576916328,0.08486088151610333,0.0849617067823351,,fast_cpp,model_symbol,fast_floor,1
full,windows_nonoverlap,source,BuEb,BuEb,,18940,18939,6314,9.62930106803833,0.0,9.62930106803833,0.0,0.04874721593824205,0.053038199941511266,0.0,0.42905606707790866,0.42905606707790866,0.000286228,0.0,0.053038199941511266,0.42905606707790866,0.42934229507790866,10.160428778995993,,,,,1864.0945586030243,1863.9961375598034,621.4304668964887,,,0.9477258566040413,0.005220074968799915,0.0,0.0047977518467541514,0.042228145722045606,2.817085835901935e-05,0.0,0.005220074968799915,0.042228145722045606,0.04225631658040462,,fast_cpp,model_symbol,fast_floor,1
full,windows_nonoverlap,source,AgPh,AgPh,,43970,43968,14657,9.668578397016972,0.0,9.668578397016972,0.0,0.054787317439359384,0.0536792137863813,0.0,0.9160859787516529,0.9160859787516529,0.000689751,0.0,0.0536792137863813,0.9160859787516529,0.9167757297516529,10.693820657994365,,,,,4111.720348248912,4111.533324353153,1370.6046200655971,,,0.9041275991279175,0.005019647841789118,0.0,0.005123268772831168,0.08566498429790065,6.449995956163373e-05,0.0,0.005019647841789118,0.08566498429790065,0.08572948425746228,,fast_cpp,model_symbol,fast_floor,1
full,windows_nonoverlap,source,GaGa,GaGa,,148532294,148532292,49510765,98.18005966531928,0.0,98.18005966531928,0.0,0.0,0.5248490199883236,0.0,3.3039543666818645,3.3039543666818645,2.130237468,0.0,0.5248490199883236,3.3039543666818645,5.434191834681864,62.17401789598807,,,,,2388976.9235837725,2388976.8914159946,796325.6465558872,,,1.5791171776861244,0.008441613357952063,0.0,0.0,0.05314043516069854,0.03426250289250582,0.0,0.008441613357952063,0.05314043516069854,0.08740293805320436,,fast_cpp,model_symbol,fast_floor,1
