split,mode,species,source_name,total_size,sample_bytes,sample_bases,arithmetic_bits_per_base,payload_only_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,payload_only_vs_2bit_percent,arithmetic_payload_bytes,framing_bytes,paper_baseline_compressed_bytes,paper_baseline_geco2_mode,paper_baseline_percent,paper_baseline_bpb,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_percent,experiment_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
full,windows_nonoverlap,HoSa,HoSa,189752667.0,189752667,189752667,1.6857253869322426,1.680514308660547,1.6857253869322426,84.28626934661213,84.02571543302734,39860259,123602,38845642,12,81.88689542898493,1.6377379085796986,38845642,12,81.88689542898493,1.6377379085796986,2483931.1600331375,2.4839311600331375,2483931.1600331375,2.4839311600331375
full,windows_nonoverlap,GaGa,GaGa,148532294.0,148532294,148532292,1.8574527887848118,1.8522409389602632,1.8574527887848118,92.87263943924059,92.61204694801316,34389699,96766,33877671,11,91.23314556765682,1.8246629113531365,33877671,11,91.23314556765682,1.8246629113531365,2346312.6021485254,2.3463126021485254,2346312.6337418254,2.3463126337418254
full,windows_nonoverlap,AnCa,AnCa,142189675.0,142189675,142189674,1.8785662874506626,1.8733543196674043,1.8785662874506626,93.92831437253312,93.66771598337021,33296455,92636,,,,,29481172,5,82.93477567903577,1.6586955135807153,2425775.126308401,2.4257751263084013,2425775.1433685366,2.4257751433685364
full,windows_nonoverlap,DaRe,DaRe,62565020.0,62565020,62565018,1.8422643784742458,1.8370477892294381,1.8422643784742458,92.1132189237123,91.8523894614719,14366866,40797,11488819,10,73.45202798624535,1.469040559724907,11488819,10,73.45202798624535,1.469040559724907,2008277.0498650998,2.0082770498650997,2008277.114063181,2.0082771140631808
full,windows_nonoverlap,OrSa,OrSa,43262523.0,43262523,43262523,1.88179760112465,1.8765773785315294,1.88179760112465,94.0898800562325,93.82886892657648,10148184,28230,8646543,10,79.94487977504224,1.5988975955008449,8646543,10,79.94487977504224,1.5988975955008449,1289187.116942749,1.289187116942749,1289187.116942749,1.289187116942749
full,windows_nonoverlap,DrMe,DrMe,32181429.0,32181429,32181429,1.896996432321262,1.8917720527575081,1.896996432321262,94.8498216160631,94.58860263787541,7609991,21016,7481093,10,92.98646122892804,1.8597292245785606,7481093,10,92.98646122892804,1.8597292245785606,1574611.0309793504,1.5746110309793504,1574611.0309793504,1.5746110309793504
full,windows_nonoverlap,EnIn,EnIn,26403087.0,26403087,26403087,1.8965555050437852,1.8913276315000591,1.8965555050437852,94.82777525218926,94.56638157500295,6242111,17254,5170889,9,78.33764286729048,1.5667528573458096,5170889,9,78.33764286729048,1.5667528573458096,1297815.2651781878,1.2978152651781878,1297815.2651781878,1.2978152651781878
full,windows_nonoverlap,ScPo,ScPo,10652155.0,10652155,10652154,1.9216485229184632,1.9163913702336635,1.9216485229184632,96.08242614592316,95.81956851168317,2551712,7000,2518963,8,94.58979896556143,1.8917959793112287,2518963,8,94.58979896556143,1.8917959793112287,840652.5657478065,0.8406525657478064,840652.6446663581,0.8406526446663581
full,windows_nonoverlap,WaMe,WaMe,9144432.0,9144432,9144432,1.9296542420568057,1.924389398926035,1.9296542420568057,96.48271210284028,96.21946994630176,2199681,6018,,,,,2217655,5,97.00569701868854,1.9401139403737706,769827.6831029411,0.7698276831029411,769827.6831029411,0.7698276831029411
full,windows_nonoverlap,PlFa,PlFa,8986712.0,8986712,8986710,1.8088488445715951,1.8035824011234367,1.8088488445715951,90.44244222857975,90.17912005617184,2026034,5916,1925726,7,85.71437473460817,1.7142874946921633,1925726,7,85.71437473460817,1.7142874946921633,747538.5249584676,0.7475385249584676,747538.691323806,0.7475386913238059
